sim,terminal_pnl,max_dd,worst_20d,ruin_200,ruin_300,ruin_500,ruin_750,ruin_1000,ruin_1500,ruin_2000
171,-376.6176235453373,-868.9029504933425,-222.97585359000004,1,1,1,1,0,0,0
172,-892.4759410176371,-1670.8964747778548,-213.97930463,1,1,1,1,1,0,0
173,-413.6631624706479,-1135.5680375753677,-216.27970657331144,1,1,1,1,1,0,0
174,329.91390287668366,-742.3489363293875,-223.6667963068575,1,0,0,0,0,0,0
175,-758.2369041047808,-1985.9418438673918,-223.79828509784633,1,1,1,1,1,0,0
176,-955.9874676981451,-1250.9929009004577,-245.30612481291215,1,1,1,1,1,0,0
177,75.26904733499308,-1161.288206562361,-216.8491664368574,1,1,1,0,0,0,0
178,-1983.6076291307083,-2468.9106128197186,-245.30612481291226,1,1,1,1,1,1,1
179,583.2538155291644,-1016.0524029859312,-238.16215729958046,1,1,1,0,0,0,0
180,-1048.412880639421,-1596.9768736576361,-222.97585359,1,1,1,1,1,0,0
181,-946.4359539783159,-1405.0270663783153,-223.7982850978463,1,1,1,1,0,0,0
182,-427.0316359805641,-1179.9193946013218,-225.27295001433984,1,1,1,0,0,0,0
183,-751.3461123069332,-1120.6675479842697,-213.9793046300001,1,1,1,1,1,0,0
184,-1125.9050629039175,-1523.65733845137,-216.27970657331144,1,1,1,1,1,0,0
185,409.3984013042029,-890.4032770649383,-216.27970657331144,1,1,0,0,0,0,0
186,-645.9727521337262,-1206.0237759224924,-223.6667963068574,1,1,1,1,0,0,0
187,-1750.1136597358636,-2121.2636582604496,-245.30612481291217,1,1,1,1,1,1,1
188,-142.57250564327944,-991.8776472650427,-213.97930462999997,1,1,0,0,0,0,0
189,-366.727345442028,-981.4155250962235,-222.97585358999999,1,1,1,0,0,0,0
190,677.8193751729943,-688.9914593976523,-213.97930463000003,1,1,0,0,0,0,0
191,-1374.435911042295,-2016.5449541624773,-230.90973585471843,1,1,1,1,1,1,0
192,-35.00493694724705,-1734.6300686702195,-245.30612481291223,1,1,0,0,0,0,0
193,926.8015311909601,-557.3497239619586,-214.12755333943684,0,0,0,0,0,0,0
194,1150.0200066180507,-587.4484326163072,-245.30612481291212,0,0,0,0,0,0,0
195,888.1736282067786,-651.1079131828154,-238.1621572995804,1,1,0,0,0,0,0
196,-1229.6439326175698,-1284.2954915916441,-245.30612481291212,1,1,1,1,1,0,0
